bank_holiday_id,date,division,title,notes,bunting
973851778823,2021-12-28,northern-ireland,Boxing Day,Substitute day,True
27021974115,2021-12-28,scotland,Boxing Day,Substitute day,True
339879636099,2022-01-03,england-and-wales,New Year’s Day,Substitute day,True
245430484083,2022-01-03,northern-ireland,New Year’s Day,Substitute day,True
429629792243,2022-01-03,scotland,New Year’s Day,Substitute day,True
342650770112,2022-01-04,scotland,2nd January,Substitute day,True
482135260411,2022-03-17,northern-ireland,St Patrick’s Day,,True
604198986509,2022-04-15,england-and-wales,Good Friday,,False
112195046498,2022-04-15,northern-ireland,Good Friday,,False
857716418211,2022-04-15,scotland,Good Friday,,False
128387139627,2022-04-18,england-and-wales,Easter Monday,,True
127599583032,2022-04-18,northern-ireland,Easter Monday,,True
698193370959,2022-05-02,england-and-wales,Early May bank holiday,,True
191180382147,2022-05-02,northern-ireland,Early May bank holiday,,True
231144836371,2022-05-02,scotland,Early May bank holiday,,True
63789694631,2022-06-02,england-and-wales,Spring bank holiday,,True
945098050640,2022-06-02,northern-ireland,Spring bank holiday,,True
167306320118,2022-06-02,scotland,Spring bank holiday,,True
725015618577,2022-06-03,england-and-wales,Platinum Jubilee bank holiday,,True
591964761008,2022-06-03,northern-ireland,Platinum Jubilee bank holiday,,True
590784191309,2022-06-03,scotland,Platinum Jubilee bank holiday,,True
533597242127,2022-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),,False
568429039185,2022-08-01,scotland,Summer bank holiday,,True
913860659049,2022-08-29,england-and-wales,Summer bank holiday,,True
344601428370,2022-08-29,northern-ireland,Summer bank holiday,,True
607149686261,2022-09-19,england-and-wales,Bank Holiday for the State Funeral of Queen Elizabeth II,,False
870897361375,2022-09-19,northern-ireland,Bank Holiday for the State Funeral of Queen Elizabeth II,,False
891068736187,2022-09-19,scotland,Bank Holiday for the State Funeral of Queen Elizabeth II,,False
604082665859,2022-11-30,scotland,St Andrew’s Day,,True
295369215271,2022-12-26,england-and-wales,Boxing Day,,True
927534113462,2022-12-26,northern-ireland,Boxing Day,,True
760487720683,2022-12-26,scotland,Boxing Day,,True
683346942594,2022-12-27,england-and-wales,Christmas Day,Substitute day,True
823038833614,2022-12-27,northern-ireland,Christmas Day,Substitute day,True
689337595778,2022-12-27,scotland,Christmas Day,Substitute day,True
104758184665,2023-01-02,england-and-wales,New Year’s Day,Substitute day,True
507015545234,2023-01-02,northern-ireland,New Year’s Day,Substitute day,True
272891344012,2023-01-02,scotland,New Year’s Day,Substitute day,True
419537090521,2023-01-03,scotland,2nd January,Substitute day,True
277747176920,2023-03-17,northern-ireland,St Patrick’s Day,,True
348749305249,2023-04-07,england-and-wales,Good Friday,,False
907260430059,2023-04-07,northern-ireland,Good Friday,,False
342412792527,2023-04-07,scotland,Good Friday,,False
141043465191,2023-04-10,england-and-wales,Easter Monday,,True
599761060236,2023-04-10,northern-ireland,Easter Monday,,True
104750362279,2023-05-01,england-and-wales,Early May bank holiday,,True
486349517352,2023-05-01,northern-ireland,Early May bank holiday,,True
12574616690,2023-05-01,scotland,Early May bank holiday,,True
871691171250,2023-05-08,england-and-wales,Bank holiday for the coronation of King Charles III,,True
714929380514,2023-05-08,northern-ireland,Bank holiday for the coronation of King Charles III,,True
376795077884,2023-05-08,scotland,Bank holiday for the coronation of King Charles III,,True
462514126068,2023-05-29,england-and-wales,Spring bank holiday,,True
186486724207,2023-05-29,northern-ireland,Spring bank holiday,,True
295849587680,2023-05-29,scotland,Spring bank holiday,,True
649220528704,2023-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),,False
776500043904,2023-08-07,scotland,Summer bank holiday,,True
979154037994,2023-08-28,england-and-wales,Summer bank holiday,,True
522130106802,2023-08-28,northern-ireland,Summer bank holiday,,True
44025950428,2023-11-30,scotland,St Andrew’s Day,,True
775467823831,2023-12-25,england-and-wales,Christmas Day,,True
926640646177,2023-12-25,northern-ireland,Christmas Day,,True
453133699938,2023-12-25,scotland,Christmas Day,,True
346898569688,2023-12-26,england-and-wales,Boxing Day,,True
64186300712,2023-12-26,northern-ireland,Boxing Day,,True
34033079547,2023-12-26,scotland,Boxing Day,,True
124147327681,2024-01-01,england-and-wales,New Year’s Day,,True
94976498035,2024-01-01,northern-ireland,New Year’s Day,,True
541907468871,2024-01-01,scotland,New Year’s Day,,True
450668599701,2024-01-02,scotland,2nd January,,True
210273387017,2024-03-18,northern-ireland,St Patrick’s Day,Substitute day,True
318251695891,2024-03-29,england-and-wales,Good Friday,,False
787706905038,2024-03-29,northern-ireland,Good Friday,,False
573928160112,2024-03-29,scotland,Good Friday,,False
517647430005,2024-04-01,england-and-wales,Easter Monday,,True
210240412083,2024-04-01,northern-ireland,Easter Monday,,True
468953173205,2024-05-06,england-and-wales,Early May bank holiday,,True
386656468042,2024-05-06,northern-ireland,Early May bank holiday,,True
608721159317,2024-05-06,scotland,Early May bank holiday,,True
394377955197,2024-05-27,england-and-wales,Spring bank holiday,,True
